B,G,R
0,28,187
0,28,187
0,28,187
0,28,187
0,29,187
0,29,187
0,29,187
0,29,187
0,29,187
1,28,187
1,28,186
0,28,186
0,28,186
0,28,186
0,28,184
1,28,183
1,28,183
1,28,183
1,28,183
1,27,183
1,27,183
1,27,182
1,27,182
1,27,181
1,27,181
1,27,181
1,27,181
1,27,181
1,27,181
1,27,180
2,27,179
2,27,179
2,27,179
2,26,179
2,26,178
2,26,178
0,27,181
0,27,181
0,27,181
0,27,181
1,28,182
1,28,183
1,28,183
1,28,183
1,28,184
1,28,185
1,28,186
0,28,186
0,28,187
0,28,187
0,28,187
0,28,188
0,28,188
0,29,188
0,28,188
0,28,189
0,28,189
0,28,188
0,28,188
0,28,188
0,28,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,187
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,29,187
0,29,187
0,29,187
0,29,187
0,29,187
0,28,187
0,28,187
0,28,187
0,28,186
0,28,186
0,28,186
0,28,186
0,28,186
1,28,186
0,28,186
1,28,186
1,28,186
0,27,185
0,27,184
1,27,182
0,27,182
0,27,182
1,27,182
1,27,181
1,27,181
1,27,181
1,27,180
2,27,180
2,27,179
2,26,179
2,26,179
2,26,178
2,26,178
2,26,178
2,26,178
2,27,182
0,27,182
0,27,182
0,27,182
0,28,182
0,28,183
1,28,183
1,28,183
1,28,183
1,28,183
1,28,184
0,28,185
0,28,186
0,28,186
0,28,187
0,28,187
0,28,187
0,28,188
0,28,188
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,188
0,28,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,29,187
0,29,188
0,29,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,186
1,28,186
0,28,186
1,28,186
1,28,186
0,28,186
0,28,186
0,28,186
0,28,185
0,27,183
1,27,183
1,27,182
1,27,182
1,27,181
1,27,181
1,27,181
2,27,180
2,27,180
2,27,180
2,27,179
2,27,178
2,26,178
2,26,178
2,26,178
2,26,178
2,27,182
2,27,182
1,27,183
0,27,183
0,27,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,184
0,28,185
0,28,186
0,28,187
0,28,187
0,27,187
0,28,187
0,28,187
0,28,188
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,187
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
1,29,188
0,29,188
0,29,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,186
0,28,186
0,28,185
0,28,185
0,27,183
1,27,182
1,27,182
1,27,182
1,27,182
2,27,182
2,27,182
2,27,181
2,27,181
2,27,181
2,26,180
2,26,180
2,26,180
2,26,180
2,26,180
1,26,182
1,27,183
1,27,183
1,27,183
1,27,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,183
0,28,184
0,28,185
0,28,186
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,188
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,188
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,188
0,28,188
0,27,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,29,188
0,29,188
0,29,188
0,29,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,186
0,28,186
0,28,186
0,28,185
1,28,184
1,28,184
1,28,183
1,28,182
1,28,182
2,27,182
2,27,182
2,27,182
2,27,182
2,26,181
2,26,181
2,26,181
2,26,181
2,26,180
2,27,180
0,26,182
0,26,183
0,26,184
0,27,185
1,27,185
1,27,185
1,27,185
0,27,185
0,27,185
0,28,184
0,28,184
0,28,184
0,28,183
0,28,183
0,28,183
0,27,183
0,27,183
0,27,185
0,28,186
0,28,186
0,28,187
0,28,187
0,28,187
0,28,187
0,28,188
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,27,189
0,27,188
0,27,188
1,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
1,27,187
1,27,187
1,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,188
0,27,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,29,188
0,29,188
0,29,188
0,29,188
0,28,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,186
0,28,186
1,28,186
1,28,185
1,28,183
1,28,183
1,27,182
1,27,182
1,27,182
1,27,182
1,27,181
1,27,181
1,27,181
1,27,181
1,27,181
1,27,181
1,27,181
1,27,183
1,27,183
1,27,185
1,27,185
1,27,185
1,27,185
1,27,186
1,27,186
1,27,186
0,27,186
0,27,185
0,27,185
0,27,184
0,28,183
0,28,183
0,28,183
0,27,183
0,27,182
0,27,182
0,27,183
0,27,185
0,27,186
0,28,186
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,28,188
0,28,188
0,27,188
0,27,188
0,27,188
0,27,187
1,27,187
2,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
1,27,186
0,27,186
0,27,186
0,27,186
0,27,186
0,27,186
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,188
0,29,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
1,28,186
0,28,186
0,28,186
0,28,185
1,27,183
1,27,183
1,27,183
1,27,183
1,27,182
1,27,182
1,27,181
1,27,181
1,27,181
1,27,181
1,26,180
0,26,180
1,27,185
1,27,185
1,27,185
1,27,185
0,27,185
0,27,185
0,27,186
0,27,186
0,27,187
0,27,186
0,27,186
0,27,186
0,26,186
0,26,185
0,27,185
0,27,183
0,27,183
0,27,183
0,27,182
0,27,182
0,27,182
0,27,182
0,27,183
0,27,185
0,28,186
0,27,186
0,27,186
0,27,186
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,186
0,27,186
2,27,186
2,27,185
2,27,185
2,27,185
1,27,185
1,26,184
1,26,183
1,27,184
1,27,183
1,27,184
1,26,185
1,26,185
1,26,185
0,26,186
0,26,186
0,27,186
0,27,185
0,27,186
0,27,186
0,27,186
1,28,186
0,28,186
0,27,186
0,27,186
0,27,187
0,27,187
0,27,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,188
0,28,188
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,186
0,27,185
0,27,185
0,27,185
0,27,184
1,28,183
1,28,183
1,27,182
1,27,182
1,27,181
0,26,181
0,26,180
0,26,180
0,26,180
1,27,185
1,27,186
1,27,186
1,27,186
0,27,186
0,27,186
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,186
0,26,186
0,26,186
0,26,185
0,27,184
0,27,183
0,27,183
0,26,182
0,26,181
0,26,181
0,26,182
0,27,182
0,27,183
0,27,185
0,27,186
0,27,186
0,26,186
0,27,186
1,26,186
1,26,186
1,26,186
0,26,186
0,26,186
0,26,186
0,26,185
0,26,185
2,26,185
2,26,183
1,26,183
1,26,182
1,26,182
1,26,181
1,25,181
1,25,181
1,26,182
1,26,182
1,26,182
1,26,182
0,26,184
0,26,184
0,26,184
0,26,184
0,26,184
0,26,184
1,27,185
1,27,186
1,27,186
0,27,186
0,27,186
0,27,186
0,26,186
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,186
0,27,187
0,27,187
1,27,187
0,27,187
0,27,187
0,27,188
0,28,189
0,28,189
0,28,189
0,28,190
0,28,190
0,28,190
0,28,189
0,28,189
0,28,189
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,28,187
0,28,186
0,28,186
0,28,186
0,28,186
1,28,184
1,28,183
1,27,182
1,27,182
0,26,181
0,26,181
0,26,180
1,26,180
1,26,180
0,27,185
0,28,186
0,28,186
0,28,186
0,28,187
0,28,187
0,27,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,187
0,26,187
0,26,186
0,26,186
0,26,186
0,26,185
0,26,183
0,26,182
0,26,180
0,26,180
0,26,180
0,26,180
0,26,181
0,26,182
0,26,183
0,26,185
1,26,185
1,26,186
1,26,186
1,26,186
1,26,186
1,26,186
0,26,186
0,26,184
0,26,184
1,25,183
1,25,183
2,25,181
2,25,181
2,25,181
1,25,180
1,25,179
1,25,179
1,25,179
1,25,179
1,25,179
1,25,179
1,25,179
0,25,179
0,25,180
0,25,181
0,25,181
0,26,182
0,26,183
0,26,184
1,26,184
1,27,184
1,26,185
0,26,185
0,26,185
0,26,185
0,26,186
0,26,186
0,27,185
1,27,185
1,27,185
1,27,185
1,27,186
0,27,186
1,27,186
1,26,186
1,26,187
1,26,187
0,27,187
0,27,188
0,27,189
0,28,189
0,28,190
0,28,190
0,28,190
0,28,190
0,28,190
0,28,190
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,188
0,28,187
0,28,187
0,28,186
0,28,186
0,28,186
0,28,186
0,28,184
0,27,183
0,26,182
0,26,181
0,26,180
1,26,180
1,26,180
2,26,181
2,27,180
0,28,186
0,28,186
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,187
0,27,187
0,26,187
0,26,186
0,26,186
1,26,186
1,26,185
1,26,183
0,26,182
0,26,180
0,25,180
0,25,179
0,25,180
0,25,180
0,25,181
0,25,181
1,25,182
1,26,182
1,26,184
1,26,185
1,26,184
1,26,184
1,26,184
1,25,183
1,24,182
1,24,181
1,24,180
1,24,180
2,24,179
2,24,179
1,24,179
1,24,179
1,24,178
1,24,178
1,24,178
1,24,178
1,25,178
1,25,179
1,25,179
0,24,179
0,24,179
0,24,179
0,25,180
0,25,181
0,26,181
1,26,181
1,26,182
1,26,183
0,26,184
0,26,184
0,26,185
0,25,185
0,26,185
0,26,185
0,26,185
0,27,185
1,27,185
1,27,185
1,27,185
0,26,185
1,26,186
1,26,186
1,26,187
1,26,187
1,26,187
0,27,188
0,27,189
0,28,189
0,28,190
0,28,190
0,28,190
0,28,190
0,28,190
0,28,190
0,28,190
0,29,190
0,29,190
0,29,190
0,28,190
0,28,190
0,28,189
0,28,189
0,28,188
0,29,188
0,29,187
0,29,187
0,28,186
0,28,186
0,28,186
0,28,184
0,27,183
0,27,182
1,26,182
1,26,181
1,26,181
2,27,181
2,27,181
2,27,181
1,27,186
0,28,186
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,187
0,26,187
1,26,186
1,26,185
1,26,185
1,26,182
1,26,180
0,25,179
0,25,179
0,25,179
0,24,178
0,24,178
0,24,179
1,25,179
1,25,180
1,25,181
1,25,181
1,25,181
1,25,180
1,25,180
1,25,180
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,178
1,24,178
1,24,178
1,24,178
1,24,178
1,24,178
0,24,179
0,24,179
0,24,179
0,24,179
0,25,180
1,25,180
1,25,181
1,26,181
1,26,181
0,26,181
0,25,181
0,25,181
0,25,181
0,25,181
0,25,182
0,25,183
0,26,183
0,26,183
1,26,184
1,27,184
1,26,185
1,26,185
1,26,185
1,26,186
2,26,186
2,26,187
1,26,187
1,26,187
0,26,188
0,27,189
0,27,190
0,28,190
0,28,190
0,28,190
0,28,190
0,28,190
0,29,190
0,29,190
0,29,190
0,29,191
0,28,191
0,28,191
0,28,190
0,28,189
0,29,189
0,29,188
0,29,188
0,29,188
0,29,187
0,29,187
0,28,186
0,28,186
0,28,185
1,27,183
1,27,183
1,27,182
1,27,182
1,27,182
2,27,181
2,27,181
2,27,180
2,27,180
1,27,186
1,27,186
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,187
1,26,186
1,26,185
1,26,185
1,26,182
1,26,181
0,25,179
0,25,179
0,25,178
0,24,178
0,24,178
0,24,178
0,24,178
1,24,178
1,24,179
1,25,179
1,25,180
2,25,180
1,25,180
1,25,179
1,25,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,179
1,24,178
1,24,178
1,24,178
1,24,178
1,24,178
1,24,179
1,24,179
1,24,179
1,24,179
1,25,180
1,25,181
1,25,181
1,26,181
0,26,181
0,26,181
0,25,181
0,25,181
0,25,181
0,25,181
0,25,181
0,25,181
0,26,182
1,26,182
1,26,183
1,27,183
1,26,184
1,26,185
2,26,185
2,26,186
2,26,186
2,26,187
2,26,187
1,26,187
0,26,187
0,26,188
0,27,189
0,27,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,190
0,29,190
0,29,190
0,28,192
0,28,192
0,28,192
0,28,192
0,28,191
0,29,190
0,29,190
0,29,189
0,29,189
0,29,188
0,29,188
0,29,187
0,28,186
1,28,186
1,28,185
1,27,183
1,27,183
1,27,183
1,27,182
2,27,182
2,27,181
2,27,181
2,26,180
2,26,180
1,28,186
1,27,186
1,27,187
0,27,187
0,27,187
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,187
0,27,187
0,27,186
1,27,185
1,26,185
1,26,182
1,26,181
1,26,180
0,25,179
0,25,178
0,24,177
0,24,177
0,24,177
0,24,178
1,24,178
1,24,178
1,24,178
1,24,179
2,25,179
2,25,180
2,25,180
2,25,179
1,25,179
1,25,179
1,25,179
1,25,179
1,25,179
2,25,179
2,25,179
2,25,179
2,25,179
2,25,179
1,25,179
1,24,179
2,25,179
2,25,179
1,24,179
1,25,179
1,25,179
1,24,179
1,24,179
1,25,180
1,25,181
1,26,181
1,26,181
1,26,181
1,26,181
0,26,181
0,25,181
0,25,181
0,25,181
0,25,181
0,25,181
0,25,181
1,26,182
1,26,182
1,26,182
1,26,183
1,26,183
2,26,183
2,26,185
2,26,185
2,26,186
2,26,186
2,26,186
2,26,187
0,26,187
0,26,187
0,26,187
0,27,188
0,27,188
0,27,188
0,28,188
0,28,189
0,28,189
0,28,189
0,28,190
0,28,192
0,28,192
0,28,192
0,28,192
0,28,192
0,29,191
0,29,190
0,29,190
0,29,189
0,29,189
0,29,188
0,29,188
0,28,187
0,28,186
1,28,186
1,28,186
1,27,183
1,27,183
1,27,183
1,27,183
2,27,182
2,27,181
2,26,181
2,26,180
2,26,180
2,26,180
1,28,187
1,28,187
1,28,187
0,27,187
0,27,187
0,27,187
0,27,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,27,187
0,27,187
0,27,186
0,27,185
1,27,185
1,26,183
1,26,182
0,26,181
1,26,180
1,26,179
1,25,177
1,25,177
1,25,177
0,24,177
0,24,176
0,24,177
1,24,178
1,24,178
1,24,178
1,24,179
1,24,179
2,25,179
2,25,180
2,25,180
2,25,180
2,25,179
2,25,179
2,25,179
2,26,180
2,26,180
2,26,180
2,26,180
2,26,180
2,26,180
2,26,180
2,25,180
2,26,180
2,26,180
2,25,180
2,25,180
2,25,180
1,25,180
1,25,181
2,25,181
2,26,181
2,26,182
1,26,182
1,26,182
1,26,182
1,26,182
1,26,182
0,25,181
0,25,181
0,25,181
0,25,181
0,25,181
1,26,182
1,26,182
1,26,182
1,26,182
1,26,183
1,26,183
2,26,184
2,26,185
2,26,185
2,27,186
2,26,186
2,26,186
0,26,186
0,27,186
0,27,186
0,27,187
0,27,187
0,27,187
0,28,188
0,28,188
0,28,188
0,28,189
0,28,189
0,28,190
0,28,192
0,28,192
0,28,192
0,28,192
0,29,192
0,29,191
0,29,191
0,29,190
0,29,190
0,29,189
0,29,188
0,29,188
1,28,187
1,28,186
1,28,186
1,28,186
1,27,185
1,27,183
1,27,183
2,27,183
2,27,182
2,26,181
2,26,181
2,26,181
2,26,180
2,26,180
0,28,188
0,28,188
0,28,188
0,27,188
0,27,188
0,27,188
0,27,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,187
0,28,186
0,28,186
0,28,186
0,28,186
0,27,186
1,27,185
1,27,185
1,27,183
1,26,182
1,26,181
0,26,180
0,26,180
0,26,179
0,25,179
0,25,177
0,25,177
1,25,177
0,25,177
0,24,176
1,24,177
1,24,178
1,24,178
1,24,178
1,24,179
1,24,179
1,25,180
1,25,180
1,25,181
2,26,181
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
2,26,182
3,27,182
3,26,182
2,26,182
3,26,182
2,26,183
2,26,183
2,26,184
2,26,184
2,26,184
2,26,184
1,26,184
1,26,184
1,26,184
1,26,184
1,26,184
1,26,183
1,26,182
1,26,182
1,26,182
1,26,182
1,26,182
1,26,182
1,26,182
1,26,182
1,26,182
2,27,183
2,27,183
2,27,183
2,27,185
2,27,185
2,27,185
2,27,185
0,27,185
0,27,185
0,27,185
0,27,186
0,27,186
0,27,187
0,27,187
0,28,187
0,28,188
0,28,188
0,28,189
0,28,189
0,28,190
0,28,191
0,28,192
0,28,192
0,28,192
1,29,192
1,29,192
1,29,191
1,29,191
1,29,190
1,29,189
1,29,188
1,28,188
1,28,187
1,28,186
1,28,186
1,28,186
1,27,185
1,27,185
1,27,183
2,27,183
2,27,182
2,27,182
2,26,181
2,26,181
2,26,181
2,26,181
0,28,188
0,28,188
0,28,188
0,28,188
0,28,188
0,27,188
0,27,188
0,28,188
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,186
0,28,186
0,28,186
0,28,186
1,27,185
1,27,185
1,27,185
1,27,183
1,26,182
1,26,181
1,26,180
0,26,180
0,26,180
0,26,180
0,26,180
0,26,179
0,25,178
1,25,177
1,25,177
1,25,177
1,25,177
1,25,178
1,24,178
1,24,179
1,24,179
1,24,180
1,24,180
2,25,181
2,26,182
2,26,182
2,26,182
2,26,182
2,26,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
3,27,183
3,27,183
3,27,183
3,27,183
2,27,184
2,27,184
2,27,185
2,27,185
2,27,185
2,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,183
1,27,183
1,26,182
1,26,182
1,26,182
1,26,182
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,185
2,27,185
2,27,185
0,27,185
0,27,185
0,27,185
0,27,185
0,27,186
0,27,186
0,28,186
0,28,187
0,28,187
0,28,187
0,27,188
0,27,188
0,27,189
0,27,190
0,27,191
0,28,192
0,28,192
0,29,192
1,29,193
1,29,193
1,29,191
1,29,191
1,29,190
1,29,189
1,29,188
0,28,188
0,28,187
0,28,187
1,28,186
1,28,186
1,27,185
1,27,185
1,27,185
1,27,183
2,27,183
2,27,182
2,26,182
2,26,182
2,26,182
2,26,182
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,186
1,28,186
1,28,185
1,28,184
1,27,184
1,27,183
1,26,182
1,26,181
1,26,180
1,26,180
0,26,180
0,26,180
0,26,180
0,26,180
0,26,180
0,26,179
0,26,179
1,26,179
1,25,179
1,25,179
1,25,179
1,25,179
1,25,179
1,25,180
1,25,180
1,25,181
2,25,182
1,26,183
1,26,183
1,26,184
2,26,184
2,26,184
2,27,184
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,184
2,27,184
3,27,184
3,27,183
2,27,183
3,27,184
2,27,184
2,27,184
2,27,185
2,27,185
2,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
2,27,185
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
0,27,183
0,27,183
0,27,184
0,27,185
0,28,185
0,28,186
0,28,186
0,28,186
0,28,187
0,27,186
0,27,187
0,27,187
0,27,188
0,27,188
0,27,190
0,27,191
0,28,192
1,28,193
1,29,193
1,29,193
1,29,192
1,29,192
1,29,191
1,29,190
0,28,189
0,28,188
0,28,188
0,28,187
0,28,187
0,28,187
0,28,186
0,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,26,183
1,26,182
1,26,182
1,26,182
0,28,187
0,28,188
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,189
0,28,188
0,28,187
0,28,187
0,28,186
1,28,186
1,28,185
2,28,184
2,28,183
2,27,182
2,26,181
1,26,180
1,25,179
1,25,179
1,25,179
0,25,180
0,25,180
0,26,180
0,26,180
0,26,180
0,26,180
1,26,180
1,26,180
1,27,181
2,27,181
2,26,181
2,26,182
2,26,182
2,26,182
2,26,182
1,26,183
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,184
2,27,184
2,27,183
2,27,184
2,27,184
2,27,184
2,27,184
2,27,185
2,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
2,27,185
2,27,185
2,27,185
2,27,185
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
2,27,183
1,27,183
0,27,183
0,27,183
0,28,183
0,28,184
0,28,185
0,28,185
1,28,186
0,28,186
0,27,186
0,27,186
0,27,186
0,26,186
0,26,187
0,26,187
0,26,188
0,27,190
0,27,191
0,28,192
1,28,193
1,28,193
1,29,192
1,29,192
1,28,192
1,28,190
0,28,189
0,28,189
0,28,188
0,28,188
0,28,188
0,28,187
0,28,187
1,27,187
1,27,187
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,185
1,27,184
1,26,182
1,26,182
